"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 7, 2021 2:24:51 PM PST","15015321851","Order","111-8790389-3105000","UV-P82C-GG9U","Happy Glider Fruity Flavor Sugar Glider Food 3 lb","1","amazon.com","Standard Orders","Amazon","NEW BEDFORD","MA","02744-1428","MarketplaceFacilitator","32.80","2.05","10.15","0","0","0","0","0","-2.05","-4.92","-16.13","0","0","21.90"
"Nov 7, 2021 2:54:10 PM PST","15015321851","Order","114-0276061-0536276","Happy Glider Fruity 1.5 lb","Happy Glider Fruity Flavor Sugar Glider Food 1.5 lb","1","amazon.com","Standard Orders","Amazon","FREDERICK","MD","21702-5909","MarketplaceFacilitator","17.90","1.02","0","0","0","0","-0.90","0","-1.02","-2.55","-4.95","0","0","9.50"
"Nov 7, 2021 2:57:43 PM PST","15015321851","Order","112-2929669-2799409","KU-R9H3-2DOZ","Suncoast Sugar Gliders Small Diced Pineapple and Diced Coconut - 8 Ounces Each","1","amazon.com","Standard Orders","Amazon","ROME","GA","30165-8675","MarketplaceFacilitator","17.25","1.21","0","0","0","0","0","0","-1.21","-2.59","-4.25","0","0","10.41"
"Nov 7, 2021 2:57:43 PM PST","15015321851","Order","112-2929669-2799409","Diced Papaya 8 oz","Diced Papaya 8 oz.","1","amazon.com","Standard Orders","Amazon","ROME","GA","30165-8675","MarketplaceFacilitator","8.47","0.59","0","0","0","0","0","0","-0.59","-1.27","-3.64","0","0","3.56"
"Nov 7, 2021 2:58:25 PM PST","15015321851","Order","114-9953551-9015448","Happy Glider Fruity 1.5 lb","Happy Glider Fruity Flavor Sugar Glider Food 1.5 lb","1","amazon.com","Standard Orders","Amazon","BLAIRSVILLE","GA","30512-1686","MarketplaceFacilitator","17.90","1.25","0","0","0","0","0","0","-1.25","-2.69","-4.95","0","0","10.26"
"Nov 7, 2021 3:02:46 PM PST","15015321851","Order","112-0020747-2169850","SR Running Wheel + Nail O Matic","Nail-O-Matic Insert PLUS Wodent Wheel Senior & Tail Shield","1","amazon.com","Standard Orders","Amazon","MELBOURNE BEACH","FL","32951-3863","MarketplaceFacilitator","39.69","2.78","0","0","0","0","0","0","-2.78","-5.95","-6.88","0","0","26.86"
"Nov 7, 2021 3:10:18 PM PST","15015321851","Order","113-3740702-1660213","Happy Glider Fruity 1.5 lb","Happy Glider Fruity Flavor Sugar Glider Food 1.5 lb","1","amazon.com","Standard Orders","Amazon","GAYLORD","MI","49735-8213","MarketplaceFacilitator","17.90","1.07","0","0","0","0","0","0","-1.07","-2.69","-4.95","0","0","10.26"
"Nov 7, 2021 3:10:18 PM PST","15015321851","Order","113-3740702-1660213","U6-NK5A-FCDM","$2 Off Intro Offer! Happy Glider 1 lb 8 oz Bag of Nutrient Dense Premium Sugar Glider Food. New Flavors, Just Released 2021! (Honey 'N Marshmallow)","1","amazon.com","Standard Orders","Amazon","GAYLORD","MI","49735-8213","MarketplaceFacilitator","17.90","1.07","0","0","0","0","0","0","-1.07","-2.69","-4.95","0","0","10.26"
"Nov 7, 2021 3:12:07 PM PST","15015321851","Order","113-3480277-6605021","WodentWheelSenior","Suncoast Sugar Gliders Wodent Wheel Senior & Tail Shield - 11"" Running Wheel for Small Pets","1","amazon.com","Standard Orders","Amazon","MEXICO","MO","65265-7093","","25.99","0","0","0","0","0","0","0","0","-3.90","-7.18","0","0","14.91"
"Nov 7, 2021 3:15:05 PM PST","15015321851","Order","111-2138611-8284239","E5-4MAG-YEVJ","$2 Off Intro Offer! Happy Glider 1 lb 8 oz Bag of Nutrient Dense Premium Sugar Glider Food. New Flavors, Just Released 2021! (Honey 'N Peach)","1","amazon.com","Standard Orders","Amazon","STARR","SC","29684-8859","MarketplaceFacilitator","17.90","1.25","0","0","0","0","0","0","-1.25","-2.69","-4.95","0","0","10.26"
"Nov 7, 2021 3:15:05 PM PST","15015321851","Order","111-2138611-8284239","Blueberry Fortifier","Blueberry Fortifier Complete Vitamins and Calcium","1","amazon.com","Standard Orders","Amazon","STARR","SC","29684-8859","MarketplaceFacilitator","18.85","1.32","0","0","0","0","0","0","-1.32","-2.83","-2.84","0","0","13.18"
"Nov 7, 2021 3:22:08 PM PST","15015321851","Order","111-6348716-9082601","E5-4MAG-YEVJ","$2 Off Intro Offer! Happy Glider 1 lb 8 oz Bag of Nutrient Dense Premium Sugar Glider Food. New Flavors, Just Released 2021! (Honey 'N Peach)","1","amazon.com","Standard Orders","Amazon","ALBANY","OH","45710-9528","MarketplaceFacilitator","17.90","1.30","0","0","0","0","0","0","-1.30","-2.69","-4.95","0","0","10.26"
"Nov 7, 2021 3:39:58 PM PST","15015321851","Order","113-9995972-3870660","Spikes Premium 1.5 lb","Suncoast Sugar Gliders Spike's Delite Hedgehog Premium Diet Food 1.5 lb","1","amazon.com","Standard Orders","Amazon","LAS VEGAS","NV","89148-5351","MarketplaceFacilitator","21.50","1.80","0","0","0","0","0","0","-1.80","-3.23","-4.95","0","0","13.32"
"Nov 7, 2021 3:40:30 PM PST","15015321851","Adjustment","","GT-HDM7-FFC4","FBA Inventory Reimbursement - General Adjustment","1","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-27.81","-27.81"
"Nov 7, 2021 3:45:53 PM PST","15015321851","Order","113-2129442-9928200","E5-4MAG-YEVJ","$2 Off Intro Offer! Happy Glider 1 lb 8 oz Bag of Nutrient Dense Premium Sugar Glider Food. New Flavors, Just Released 2021! (Honey 'N Peach)","1","amazon.com","Standard Orders","Amazon","TUCSON","AZ","85748-4501","MarketplaceFacilitator","17.90","1.56","0","0","0","0","0","0","-1.56","-2.69","-4.95","0","0","10.26"
"Nov 7, 2021 3:46:23 PM PST","15015321851","Order","113-8729321-6869807","Spikes Premium 1.5 lb","Suncoast Sugar Gliders Spike's Delite Hedgehog Premium Diet Food 1.5 lb","1","amazon.com","Standard Orders","Amazon","WAKEFIELD","RI","02879-2444","MarketplaceFacilitator","21.50","1.51","0","0","0","0","0","0","-1.51","-3.23","-4.95","0","0","13.32"
"Nov 7, 2021 3:50:03 PM PST","15015321851","Order","114-4579855-7294629","Diced Papaya 8 oz","Diced Papaya 8 oz.","1","amazon.com","Standard Orders","Amazon","LAS VEGAS","NV","89115-2415","MarketplaceFacilitator","8.47","0.71","0","0","0","0","0","0","-0.71","-1.27","-3.64","0","0","3.56"
"Nov 7, 2021 4:01:00 PM PST","15015321851","Refund","113-3212746-4839419","UV-P82C-GG9U","Happy Glider Fruity Flavor Sugar Glider Food 3 lb","3","amazon.com","Standard Orders","Amazon","SEATTLE","WA","98146-4335","MarketplaceFacilitator","-98.40","-9.93","0","0","0","0","0","0","9.93","11.81","0","0","0","-86.59"
"Nov 7, 2021 4:02:55 PM PST","15015321851","Order","112-2173566-9949821","Happy Glider Fruity 1.5 lb","Happy Glider Fruity Flavor Sugar Glider Food 1.5 lb","1","amazon.com","Standard Orders","Amazon","CANTONMENT","FL","32533","MarketplaceFacilitator","17.90","1.34","0","0","0","0","0","0","-1.34","-2.69","-4.95","0","0","10.26"
"Nov 7, 2021 4:19:50 PM PST","15015321851","Order","113-4024326-9269802","Diced Papaya 8 oz","Diced Papaya 8 oz.","1","amazon.com","Standard Orders","Amazon","DALTON GARDENS","ID","83815-9609","MarketplaceFacilitator","8.47","0.51","0","0","0","0","0","0","-1.02","-2.54","-3.64","0","0","1.78"
"Nov 7, 2021 4:19:50 PM PST","15015321851","Order","113-4024326-9269802","Diced Papaya 8 oz","Diced Papaya 8 oz.","1","amazon.com","Standard Orders","Amazon","DALTON GARDENS","ID","83815-9609","","8.47","0.51","0","0","0","0","0","0","0","0","-3.64","0","0","5.34"
"Nov 7, 2021 4:25:45 PM PST","15015321851","Order","113-6736998-6588228","Happy Glider Fruity 1.5 lb","Happy Glider Fruity Flavor Sugar Glider Food 1.5 lb","1","amazon.com","Standard Orders","Amazon","TAMPA","FL","33625-1643","MarketplaceFacilitator","17.90","1.34","0","0","0","0","0","0","-1.34","-2.69","-4.95","0","0","10.26"
"Nov 7, 2021 4:40:46 PM PST","15015321851","Order","113-6541567-5521021","MiniYogurt","Mini Yogurt Drops 8 oz. 3 Pack (1.5 pounds Total) Sugar Glider Treats","1","amazon.com","Standard Orders","Amazon","BRANFORD","FL","32008-2948","MarketplaceFacilitator","28.00","1.96","7.63","0","0","0","0","0","-1.96","-4.20","-12.58","0","0","18.85"
"Nov 7, 2021 5:14:47 PM PST","15015321851","Order","113-8302362-1905018","StainlessCup5oz3pack","Stainless Steel 5 oz Hanging pet Bowl/Cup/Dish for Food and Water (3 Pack)","1","amazon.com","Standard Orders","Amazon","SOUTHGATE","MI","48195-1862","MarketplaceFacilitator","16.75","1.01","0","0","0","0","0","0","-1.01","-2.51","-3.64","0","0","10.60"
"Nov 7, 2021 5:17:58 PM PST","15015321851","Order","114-6713289-9094611","Happy Glider Fruity 1.5 lb","Happy Glider Fruity Flavor Sugar Glider Food 1.5 lb","1","amazon.com","Standard Orders","Amazon","SCOTTSDALE","AZ","85251-2335","MarketplaceFacilitator","17.90","1.44","0","0","0","0","0","0","-1.44","-2.69","-4.95","0","0","10.26"
"Nov 7, 2021 5:46:52 PM PST","15015321851","Order","111-3583840-5404260","Spikes Premium 1.5 lb","Suncoast Sugar Gliders Spike's Delite Hedgehog Premium Diet Food 1.5 lb","1","amazon.com","Standard Orders","Amazon","ORLANDO","FL","32839-5069","MarketplaceFacilitator","21.50","1.40","0","0","0","0","0","0","-1.40","-3.23","-4.95","0","0","13.32"
"Nov 7, 2021 6:14:25 PM PST","15015321851","Order","111-4657114-7569859","Spikes Premium 1.5 lb","Suncoast Sugar Gliders Spike's Delite Hedgehog Premium Diet Food 1.5 lb","1","amazon.com","Standard Orders","Amazon","SAN ANTONIO","TX","78258-4547","MarketplaceFacilitator","21.50","1.77","1.49","0","0","0","-1.49","0","-1.77","-3.23","-4.95","0","0","13.32"
